"key","type","title","DOI","date","pub","collections"
"EYS9LIW4","journalArticle","V1 spinal neurons regulate the speed of vertebrate locomotor outputs.","10.1038/nature04545","2006-03-09","Nature","N9R9QB36"
"JSXF58NV","journalArticle","Afferent control of locomotor CPG: insights from a simple neuromechanical model","10.1111/j.1749-6632.2010.05435.x","2010-06-01","Annals of the New York Academy of Sciences","N9R9QB36"
"JHA4K38H","journalArticle","Adaptive hindlimb split-belt treadmill walking in rats by controlling basic muscle activation patterns via phase resetting","10.1038/s41598-018-35714-8","2018-11-26","Scientific Reports","N9R9QB36"
"34YHKUFB","journalArticle","Robotics Application of a Method for Analytically Computing Infinitesimal Phase Response Curves","10.1007/978-3-030-64313-3_12","2020",,"N9R9QB36"
"5922NXLN","journalArticle","Ankleextensor groupIafferents excite extensors throughout thehindlimb during fictive locomotion inthecat",,"2011-01-01",,"N9R9QB36"
"352UDMZ7","journalArticle","Modelling spinal circuitry involved in locomotor pattern generation: insights from deletions during fictive locomotion","10.1113/jphysiol.2006.118703","2006-12-01","The Journal of Physiology","FJVWT8R9;J9QQKKC3;N9R9QB36"
"DSGTZ897","conferencePaper","Tuning of neural oscillators for the design of rhythmic motions","10.1109/ROBOT.2000.844870","2000",,"QUIZCN5R"
"JRRZFK7E","journalArticle","Sensory Feedback Induced by Front-Leg Stepping Entrains the Activity of Central Pattern Generators in Caudal Segments of the Stick Insect Walking System","10.1523/JNEUROSCI.3155-08.2009","2009-03-04","Journal of Neuroscience","7MUA9TNJ;JHS52VG2;JNXN9AAK;PDND6A7U;TYJX29H8"
"9ID7ASV7","journalArticle","Organization of mammalian locomotor rhythm and pattern generation","10.1016/j.brainresrev.2007.08.006","2008-01-01","Brain Research Reviews","ADI9MVVM;FJVWT8R9;MA3TJQ29;N9R9QB36;RPTFU546;Z2IJ6ASX"
"GDKE9S3M","journalArticle","The use of state-dependent modulation of spinal reflexes as a tool to investigate the organization of spinal interneurons.","10.1007/s002210050847","1999-09-17","Experimental Brain Research","N9R9QB36"
"N3DFZEXB","journalArticle","Computational modeling of spinal circuits controlling limb coordination and gaits in quadrupeds","10.7554/eLife.31050","2017/11/22","eLife","8ZK4JUJB;G7U2YC7Y;XK5E9LE4;Z8JX6KUL"
"U3H52BTN","journalArticle","Optic flow regulation: the key to aircraft automatic guidance","10.1016/j.robot.2004.09.016","March 31, 2005","Robotics and Autonomous Systems","5T5PXLZC"
"J8ICEH85","journalArticle","Implementation of an RBF neural network on embedded systems: real-time face tracking and identity verification","10.1109/TNN.2003.816035","Sept 2003","IEEE Transactions on Neural Networks","5T5PXLZC"
"9W5PDGU7","journalArticle","An Assessment of Six Muscle Spindle Models for Predicting Sensory Information during Human Wrist Movements","10.3389/fncom.2015.00154","2016-01-14","Frontiers in Computational Neuroscience","7N4C29P2;BS9BJMUU;N9R9QB36"
"9XQ3RUI3","journalArticle","Learning CPG Sensory Feedback with Policy Gradient for Biped Locomotion for a Full-Body Humanoid",,"2005",,"7MUA9TNJ;JHS52VG2;TYJX29H8;XQM5FLN5"
"R4DX3I8Z","journalArticle","Sensory Feedback in the Control of Posture and Locomotion","10.1002/9781118873397.ch9","2017-06-23",,"N9R9QB36"
"8BTFJLJW","journalArticle","Flow field sensing with bio-inspired artificial hair cell arrays","10.1016/j.snb.2016.05.091","November 29, 2016","Sensors and Actuators B: Chemical","8KUXKGCX;LB2PA2M3"
"WUTW7V92","journalArticle","The contribution of a central pattern generator in a reflex-based neuromuscular model","10.3389/fnhum.2014.00371","2014-06-26","Frontiers in Human Neuroscience","TYJX29H8"
"DZPSWJ2K","journalArticle","Mechanosensation and Adaptive Motor Control in Insects","10.1016/j.cub.2016.06.070","2016-10-24","Current Biology","XXAXGRUX"
"GTAGV9L5","journalArticle","Phasic gain control of the transmission in cutaneous reflex pathways to motoneurones during 'fictive' locomotion.","10.1016/0006-8993(78)90493-6","1978-06-30","Brain Research","N9R9QB36"
"G4YNHB5V","journalArticle","Control for multifunctionality: bioinspired control based on feeding in Aplysia californica","10.1007/s00422-020-00851-9","2020","Biological Cybernetics","N9R9QB36"
"8FS7YFVM","journalArticle","Transient Response in a Dendritic Neuron Model for Current Injected at One Branch",,,,"YGJ8NW46"
"JTCC6357","journalArticle","Stumbling corrective reaction during fictive locomotion in the cat.","10.1152/jn.00175.2005","2005-05-25","Journal of Neurophysiology","N9R9QB36"
"MYPXKF6E","journalArticle","Cutaneous Reflexes During Human Gait: Electromyographic and Kinematic Responses to Electrical Stimulation","10.1152/jn.1997.77.6.3311","1997-06-01","Journal of Neurophysiology","N9R9QB36"
"C242M3IN","journalArticle","Adaptive control for backward quadrupedal walking. II. Hindlimb muscle synergies","10.1152/jn.1990.64.3.756","1990-09-01","Journal of Neurophysiology","N9R9QB36"
"X5V7DDGT","journalArticle","Neuronal Control of Locomotion 'From Mollusc to Man '",,"1999-11-18",,"N9R9QB36"
"5SD4D6FX","journalArticle","Controlling legs for locomotionΓÇöinsights from robotics and neurobiology","10.1088/1748-3190/10/4/041001","June 2015","Bioinspiration & Biomimetics","C9GHUG33;N9R9QB36;Y5999VDY"
"ZQ2YLZKM","journalArticle","Organization of left-right coordination of neuronal activity in the mammalian spinal cord: Insights from computational modelling","10.1113/JP270121","2015-06-01","The Journal of Physiology","N9R9QB36"
"HCRQ3XGX","journalArticle","Peripheral control of the cat's step cycle I. Phase dependent effects of ramp-movements of the hip during ΓÇ£fictive locomotionΓÇ¥","10.1111/j.1748-1716.1981.tb06867.x","1981-09-01","Acta Physiologica Scandinavica","N9R9QB36"
"X6WHYDNF","journalArticle","AnimatLab: A 3D graphics environment for neuromechanical simulations","10.1016/j.jneumeth.2010.01.005","2010-03-30","Journal of Neuroscience Methods","N9R9QB36"
"MMJLWEK4","journalArticle","The significance of dynamical architecture for adaptive responses to mechanical loads during rhythmic behavior","10.1007/s10827-014-0519-3","2015-02-01","Journal of Computational Neuroscience","N9R9QB36"
"NJG3ZNV3","journalArticle","Analytical CPG model driven by limb velocity input generates accurate temporal locomotor dynamics.","10.7287/peerj.preprints.26734v1","2018-03-19","PeerJ","N9R9QB36"
"VHRIWJBY","journalArticle","Vestibular-mediated synaptic inputs and pathways to sympathetic preganglionic neurons in the neonatal mouse.","10.1113/jphysiol.2012.234609","2012-11-15","The Journal of Physiology","N9R9QB36"
"UQPWXKRT","conferencePaper","Bat Bot (B2), a biologically inspired flying machine","10.1109/ICRA.2016.7487491","May 2016",,"BBE4U5K8;VD7TQ8M3"
"QC4IBXM8","journalArticle","ATRIAS: Design and validation of a tether-free 3D-capable spring-mass bipedal robot","10.1177/0278364916648388","2016-10-01","The International Journal of Robotics Research","A9APUGPQ;NW7YXWPA;Q5A46GCA"
"GHY9AGV7","journalArticle","Forms of forward quadrupedal locomotion. II. A comparison of posture, hindlimb kinematics, and motor patterns for upslope and level walking.","10.1152/jn.1998.79.4.1687","1998-04-01","Journal of Neurophysiology","N9R9QB36"
"QT4Y3IRV","journalArticle","V3 spinal neurons establish a robust and balanced locomotor rhythm during walking.","10.1016/j.neuron.2008.09.027","2008-10-09","Neuron","N9R9QB36"
"ZXYWYGXG","journalArticle","Bifurcations in MorrisΓÇôLecar neuron model","10.1016/j.neucom.2005.03.006","1/2006","Neurocomputing","YGJ8NW46"
"487Z4V9R","journalArticle","Modulation of ipsi- and contralateral reflex responses in unrestrained walking cats","10.1152/jn.1980.44.5.1024","1980-11-01","Journal of Neurophysiology","N9R9QB36"
"BKBQEBDU","journalArticle","Modular organization of the multipartite central pattern generator for turtle rostral scratch: knee-related interneurons during deletions","10.1152/jn.00871.2015","2016-06-01","Journal of Neurophysiology","N9R9QB36"
"TC9VID2V","preprint","ScaFi: Length-Scalable, Compliant, Parametric Robotic Fish Design for Operation in Multiple Environmental Niches","10.21203/rs.3.rs-7577054/v1","2025-10-10",,"VD8SAM7F"
"JARFNYXE","journalArticle","Central pattern generators in the turtle spinal cord: selection among the forms of motor behaviors.","10.1152/jn.00602.2017","2018-02-01","Journal of Neurophysiology","N9R9QB36"
"AKKBWQR2","journalArticle","How fish power predation fast-starts","10.1242/jeb.198.9.1851","1995","The Journal of Experimental Biology","VD8SAM7F"
"DW9PZKVQ","bookSection","Modeling the Organization of Spinal Cord Neural Circuits Controlling Two-Joint Muscles","10.1007/978-1-4939-3267-2_5","2016",,"G7U2YC7Y;N9R9QB36;RPTFU546;Z8JX6KUL"
"QT6Z6XA9","journalArticle","Flexor reflex afferents reset the step cycle during fictive locomotion in the cat","10.1007/s002210050522","1998-05-30","Experimental Brain Research","N9R9QB36"
"D2N9Z673","journalArticle","Functionally complex muscles of the cat hindlimb. I. Patterns of activation across sartorius.","10.1007/bf00229406","1991-01-01","Experimental Brain Research","N9R9QB36"
"UDWN2QLV","journalArticle","Synchronization and desynchronization of neural oscillators","10.1016/S0893-6080(99)00068-4","11/1999","Neural Networks","7MUA9TNJ;G2YJMU83;JHS52VG2;QUIZCN5R"
"UPM689S4","journalArticle","Mechanosensation and adaptive motor control in insects","10.1016/j.cub.2016.06.070","2016-10-24","Current biology : CB","T8DEMIYL"
"4R3BMDTE","journalArticle","LOCOMOTOR CIRCUITS IN THE MAMMALIAN SPINAL CORD","10.1146/annurev.neuro.29.051605.112910","2006-06-15","Annual Review of Neuroscience","N9R9QB36"
"A58W6FYR","journalArticle","Development and Flight Testing of a Turbulence Mitigation System for Micro Air Vehicles","10.1002/rob.21626","August 1, 2016","Journal of Field Robotics","8KUXKGCX;U65AP8TW;VD7TQ8M3"
"LVQ3W94U","journalArticle","Common interneurones in reflex pathways from group 1a and 1b afferents of ankle extensors in the cat.","10.1113/jphysiol.1981.sp013556","1981-01-01","The Journal of Physiology","N9R9QB36"
"5JNBVJTZ","journalArticle","Patterns of locomotor drive to motoneurons and last-order interneurons: clues to the structure of the CPG.","10.1152/jn.2001.86.1.447","2001-07-01","Journal of Neurophysiology","N9R9QB36"
"3YX8SLFP","journalArticle","Highly sensitive airflow sensors with an ultrathin reduced graphene oxide film inspired by gas exfoliation of graphite oxide","10.1039/C6MH00587J","2017","Materials Horizons","8KUXKGCX"
"J7VNHZDM","journalArticle","The comparative investigation of the stick insect and cockroach models in the study of insect locomotion","10.1016/j.cois.2015.07.004","2015-12-01","Current Opinion in Insect Science","XXAXGRUX"
