"depth","name","key","items"
"0","Biology","Z4NMMVVJ","0"
"1","Animals","BIMUYAAR","0"
"1","Neuromechanical Modeling","ZLA4768F","0"
"2","Biologically Inspired Neural Networks (BINNs)","5Q8IMQK4","1"
"2","Biomechanics","JTGFU9XU","3"
"2","Flight","U65AP8TW","53"
"2","Fly Eye","5T5PXLZC","36"
"2","Local Feedback","XRRT83XE","5"
"2","Neuromorphic Hardware","LRCMDEWK","1"
"2","Sensory Feedback","N9R9QB36","532"
"2","Swimming","VD8SAM7F","24"
"3","Animal Data","XXAXGRUX","27"
"3","Biomechanics","MMK48V5F","25"
"3","Biped","Q5A46GCA","22"
"3","CPGs","TYJX29H8","66"
"3","Functional Subnetwork Approach","BBGSDJ8D","4"
"3","Literature Reviews","T8DEMIYL","2"
"3","Models","XK5E9LE4","20"
"3","Muscles","AJENK7I2","14"
"3","Neural Oscillators","QUIZCN5R","23"
"3","Neuron Modeling","YGJ8NW46","36"
"3","Proprioceptive Feedback","7N4C29P2","48"
"3","Quadruped","5TDG33CE","7"
"3","Robotics\Planes","BBE4U5K8","8"
"3","Sensors","8KUXKGCX","30"
"3","Synergies","BHJDGXEG","7"
"4","Synchronization","QIP5VX22","4"
