"scope","key","added","itemType","doi","surname","year","title","abstractLen"
"groups/735051","WJ93DY7W","2026-09-16T04:24:47Z","webpage","","","","Evolution of humanoid locomotion control | Science Robotics","0"
"groups/735051","JMJIQ9ZZ","2026-09-16T04:22:55Z","preprint","10.64898/2026.06.09.731213","Ton","2026-06-12","Unified comparison of spinal locomotion control architectures in neuromechanical simulations","3134"
"groups/735051","6CEVM6YE","2026-09-16T04:21:13Z","journalArticle","10.1016/j.isci.2025.112203","Schumacher","2025-04-18","Emergence of natural and robust bipedal walking by learning from biologically plausible objectives","0"
"groups/735051","6NIJ7VIE","2026-09-16T04:19:26Z","journalArticle","10.1016/j.engappai.2025.111811","Mo","2025-11-15","A multi-Layered neural control framework: Combining central pattern generators utilizing muscle synergy Theory and incorporating proprioceptors","1543"
"groups/735051","8YCE28D9","2026-09-16T04:18:41Z","preprint","10.1101/2025.02.05.636668","Bunz","2025-02-08","A simple network of proprioceptive reflexes can produce a variety of bipedal gaits","2585"
"groups/735051","4HP4LJDQ","2026-09-16T04:16:27Z","preprint","10.48550/arXiv.2606.11034","Steffen","2026-06-09","A Spiking Neural Architecture for Coordinating Arm and Locomotor Control","1142"
"groups/735051","6Z7RBVRC","2026-09-16T04:15:12Z","journalArticle","10.3390/robotics14060084","Bekhiti","2025-06-16","Neural Adaptive Nonlinear MIMO Control for Bipedal Walking Robot Locomotion in Hazardous and Complex Task Applications","1743"
"groups/735051","PXUSZ7NR","2026-09-16T04:14:14Z","journalArticle","","Al-Tameemi","2025-05-13","Bipedal Robots: A Systematic Review of Dynamical Models, Balance Control Strategies, and Locomotion Methods | Journal of Robotics and Control (JRC)","2086"
"groups/735051","ZYA3GGJF","2026-09-16T04:13:49Z","journalArticle","10.1098/rsif.2025.0662","Koseki","2026-02-01","Human-inspired bipedal locomotion: from neuromechanics to mathematical modelling and robotic applications","1403"
"groups/735051","SUEWLVPW","2026-09-16T04:12:54Z","journalArticle","10.64898/2026.02.11.705376","Mojtabavi","2026-2-13","Neuromuscular Basis of Kinematic Adaptations During Bidirectional Walking","2885"
"groups/735051","QG6A6BH4","2026-09-16T04:11:48Z","webpage","","","","Code from: Sensory feedback and central neuronal interactions in mouse locomotion - Drexel University","0"
"groups/735051","E3U29CXK","2026-09-16T04:11:30Z","preprint","10.18910/92326","Ramalingasetty","June 2023","An integrated neuromechanical model of the mouse to study neural control of locomotion","0"
"groups/735051","R29RM7JI","2026-09-16T04:11:03Z","preprint","10.18910/92264","Lockhart","June 2023","Comparative investigation of control mechanisms for turning during quadrupedal robot locomotion","0"
"groups/735051","WGZSJTQH","2026-09-16T04:10:39Z","journalArticle","10.1101/2025.05.17.654682","Shevtsova","2025-5-22","Reorganization of spinal neural connectivity following recovery after thoracic spinal cord injury: insights from computational modelling","1719"
"groups/735051","TQYBQQUG","2026-09-16T04:10:26Z","journalArticle","10.1113/JP287448","Rahmati","2025","Role of forelimb morphology in muscle sensorimotor functions during locomotion in the cat","2608"
"groups/735051","TBHKUUAK","2026-09-16T04:10:03Z","journalArticle","10.1113/JP288089","Klishko","2025","Effects of spinal transection and locomotor speed on muscle synergies of the cat hindlimb","2565"
"groups/735051","GM9GET82","2026-09-16T04:09:50Z","journalArticle","10.1113/JP286808","Mari","2024","Changes in intra- and interlimb reflexes from forelimb cutaneous afferents after staggered thoracic lateral hemisections during locomotion in cats","2815"
"groups/735051","FNQCAAU7","2026-09-16T04:09:28Z","conferencePaper","","Ramalingasetty","","On All Fours: A 3D Framework to Study Closed-loop Control of Quadrupedal Mouse Locomotion","1764"
"groups/735051","4S96Y3FG","2026-09-16T04:08:49Z","journalArticle","10.3389/fbioe.2026.1787167","Molkov","2026-05-22","Speed-dependent turning strategies in quadrupedal locomotion: insights from computational modeling","2183"
"groups/735051","YE5VCDMJ","2026-09-16T04:08:35Z","journalArticle","10.1152/jn.00331.2025","Yassine","2025-11","Speed-dependent locomotor adjustments following staggered thoracic lateral hemisections in adult cats","2347"
"groups/735051","JEJUI2NS","2026-09-16T04:08:04Z","journalArticle","10.1152/jn.00104.2024","Harnie","2024-06","Forelimb movements contribute to hindlimb cutaneous reflexes during locomotion in cats","2323"
"groups/735051","F55LBFZG","2026-09-16T04:07:40Z","journalArticle","10.1101/2025.11.11.687930","Shinohara","2025-11-12","Mechanisms of adaptive interlimb coordination to sudden ground loss: a neuromusculoskeletal modeling study","1347"
"groups/735051","7NTJY5GQ","2026-09-16T04:07:04Z","journalArticle","10.3389/fnsys.2023.1199079","Mari","2023-06-09","A sensory signal related to left-right symmetry modulates intra- and interlimb cutaneous reflexes during locomotion in intact cats","1421"
"groups/735051","BLL4S52K","2026-09-16T04:06:40Z","journalArticle","10.1523/ENEURO.0191-23.2023","Audet","2023/06/01","Spinal Sensorimotor Circuits Play a Prominent Role in Hindlimb Locomotor Recovery after Staggered Thoracic Lateral Hemisections but Cannot Restore Posture and Interlimb Coordination during Quadrupedal Locomotion in Adult Cats","1821"
"groups/735051","X43H35G9","2026-09-16T04:06:27Z","journalArticle","10.1113/JP286151","Mari","2024","Changes in intra- and interlimb reflexes from hindlimb cutaneous afferents after staggered thoracic lateral hemisections during locomotion in cats","2806"
"groups/735051","KUYUIBA7","2026-09-16T04:05:42Z","journalArticle","10.1098/rsos.240207","Molkov","","Sensory feedback and central neuronal interactions in mouse locomotion","1666"
"groups/735051","IZ2IA2ML","2026-09-16T04:04:09Z","journalArticle","10.3389/fncel.2025.1710893","Molkov","2025-11-11","Ionic mechanisms underlying bistability in spinal motoneurons: insights from a computational model","1283"
"groups/735051","JEUZYHH8","2026-09-16T01:18:33Z","journalArticle","10.7554/eLife.103504","Rybak","2025-01-27","Operation of spinal sensorimotor circuits controlling phase durations during tied-belt and split-belt locomotion after a lateral thoracic hemisection","1889"
"groups/735051","DSTCLWMI","2026-09-16T01:16:07Z","journalArticle","10.1016/j.expneurol.2023.114496","Danner","2023-10-01","Spinal control of locomotion before and after spinal cord injury","1701"
"groups/735051","PV8Q9QMY","2026-09-16T01:15:23Z","journalArticle","10.7554/eLife.107480","Shevtsova","2026-02-17","Linking spinal circuit reorganization to recovery after thoracic spinal cord injury","1930"
"groups/735051","6NNY7PSJ","2026-09-16T01:14:13Z","journalArticle","10.7554/eLife.98841","Rybak","2024-10-14","Operation regimes of spinal circuits controlling locomotion and the role of supraspinal drives and sensory feedback","1529"
"groups/735051","F6HULPJH","2026-09-15T20:19:25Z","webpage","","","","ARTICLES | Journal of Neurophysiology","0"
"groups/735051","7ZJV4GTK","2026-09-15T20:19:25Z","journalArticle","10.1152/jn.00950.2009","Schnell","2010/03/01","Processing of Horizontal Optic Flow in Three Visual Interneurons of the Drosophila Brain","1741"
