"att_key","doi","surname","year","title","folders","library"
"QTFDM9IC","10.1007/978-94-007-7194-9_49-1","Goswami","2017","CPG-Based Control of Humanoid Robot Locomotion","","users/0"
"6LM33WX6","10.7554/elife.107480","Shevtsova","2026","Linking spinal circuit reorganization to recovery after thoracic spinal cord injury","","users/0"
"3BRM8ZL9","10.1101/2025.11.11.687930","Shinohara","2025","Mechanisms of adaptive interlimb coordination to sudden ground loss: a neuromusculoskeletal modeling study","","users/0"
"5JNA8S9B","10.1242/jeb.198.2.435","Büschges","1995","Rhythmic Patterns in the Thoracic Nerve Cord of the Stick Insect Induced by Pilocarpine","","users/0"
"HMU7XHUC","10.1016/j.jneumeth.2010.01.005","Cofer","2010","AnimatLab: A 3D graphics environment for neuromechanical simulations","","users/0"
"25VAKA5Q","10.1007/978-3-319-95972-6_15","Vouloutsi","2018","Neuromechanical Model of Rat Hind Limb Walking with Two Layer CPGs and Muscle Synergies","","users/0"
"MJCK7B49","10.1016/j.jneumeth.2010.01.005","Cofer","2010","AnimatLab: a 3D graphics environment for neuromechanical simulations","","users/0"
"CG4WENUS","10.1016/j.jneumeth.2010.01.005","Cofer","2010","AnimatLab: a 3D graphics environment for neuromechanical simulations","","users/0"
"DAN8PN7C","10.1016/j.jneumeth.2010.01.005","Cofer","2010","AnimatLab: a 3D graphics environment for neuromechanical simulations","","users/0"
"8L3VMFA8","10.1016/j.jneumeth.2010.01.005","Cofer","2010","AnimatLab: a 3D graphics environment for neuromechanical simulations","","users/0"
"AN6TLGJV","10.1016/j.jneumeth.2010.01.005","Cofer","2010","AnimatLab: a 3D graphics environment for neuromechanical simulations","","users/0"
"CIKZSVKJ","10.1016/j.jneumeth.2010.01.005","Cofer","2010","AnimatLab: a 3D graphics environment for neuromechanical simulations","","users/0"
"KAUDXTDD","10.1016/j.jneumeth.2010.01.005","Cofer","2010","AnimatLab: a 3D graphics environment for neuromechanical simulations","","users/0"
"RLJQQVUG","10.1016/j.jneumeth.2010.01.005","Cofer","2010","AnimatLab: a 3D graphics environment for neuromechanical simulations","","users/0"
"JMKZ3CNR","10.1016/j.jneumeth.2010.01.005","Cofer","2010","AnimatLab: a 3D graphics environment for neuromechanical simulations","","users/0"
