att_key,collection,doi,action
T3QJMZ9L,RBG8ZVYP,10.1016/j.isci.2022.104083,DELETED via +AARL+Airtable
57CXDSFR,RBG8ZVYP,10.1146/annurev-neuro-082321-025137,DELETED via +AARL+Airtable
Q2A3ELQ2,RBG8ZVYP,10.3389/fncir.2023.1235181,DELETED via +Airtable
DHK6PVJ3,RBG8ZVYP,10.1007/s00422-023-00970-z,DELETED via +Airtable
PCRT7K2B,RBG8ZVYP,10.1152/jn.00248.2023,KEPT (no redundant copy)
PTPUPDEE,RBG8ZVYP,10.1113/jp286808,KEPT (no redundant copy)
N2JNTBAV,RBG8ZVYP,10.7554/elife.98841,DELETED via +AARL
M625NCLZ,RBG8ZVYP,10.7554/elife.103504,DELETED via +AARL
28KHCL65,RBG8ZVYP,10.1371/journal.pcbi.1013494,DELETED via +Airtable
BT2XVMWY,RBG8ZVYP,10.1016/j.cub.2025.09.030,KEPT (no redundant copy)
3SRA6RP9,RBG8ZVYP,10.1038/s42003-024-06843-w,DELETED via +Airtable
M2TD2YZ5,RBG8ZVYP,10.1371/journal.pcbi.1012101,KEPT (no redundant copy)
QTFDM9IC,RBG8ZVYP,10.1007/978-94-007-7194-9_49-1,KEPT (no redundant copy)
5JNA8S9B,RBG8ZVYP,10.1242/jeb.198.2.435,DELETED via staging+AARL+Airtable
HMU7XHUC,RBG8ZVYP,10.1016/j.jneumeth.2010.01.005,DELETED via staging+AARL+Airtable
Y9BRJGF4,RBG8ZVYP,10.3389/fnbot.2017.00037,DELETED via staging+AARL+Airtable
WBNZEJFV,RBG8ZVYP,10.3390/biomimetics7010017,DELETED via +AARL
HUMRI5PP,RBG8ZVYP,10.3389/fbioe.2022.825149,DELETED via +AARL+Airtable
QLY9YJ7F,RBG8ZVYP,10.1152/jn.90895.2008,DELETED via +AARL
TIU6J4R2,RBG8ZVYP,10.1016/j.neuron.2008.09.027,DELETED via +AARL
CPUQW4VI,RBG8ZVYP,10.1113/jp274518,DELETED via staging+AARL
CGXPIYJZ,RBG8ZVYP,10.1113/jp272787,DELETED via staging+AARL
AXU8M97Z,RBG8ZVYP,10.1152/jn.00658.2017,DELETED via staging+AARL
AGNY8H4E,RBG8ZVYP,10.3390/ijms22031394,DELETED via staging+AARL
8TGRY985,RBG8ZVYP,10.7287/peerj.preprints.26734v1,DELETED via staging+AARL
89G9WWQQ,RBG8ZVYP,10.1113/jphysiol.1987.sp016676,DELETED via staging+AARL
7LDZRTYS,RBG8ZVYP,10.1523/jneurosci.1737-09.2009,DELETED via staging+AARL
47QYMID7,RBG8ZVYP,10.1098/rspb.1911.0077,DELETED via staging+AARL
3M75PYLM,RBG8ZVYP,10.3389/fnsys.2023.1199079,DELETED via staging+AARL
3M6ICAMG,RBG8ZVYP,10.1016/j.conb.2009.10.011,DELETED via staging+AARL
3HM2QQVU,RBG8ZVYP,10.1007/bf00227344,DELETED via staging+AARL+Airtable
2QWNS6EQ,RBG8ZVYP,10.1177/0278364905055381,DELETED via staging+AARL
GQXBBP2T,RBG8ZVYP,10.1101/2023.10.31.564886,DELETED via +AARL
ISTFNXMB,RBG8ZVYP,10.1152/jn.00250.2018,DELETED via +AARL
NA66A23F,RBG8ZVYP,10.1007/978-3-319-95972-6_21,DELETED via +AARL
EDM538U9,RBG8ZVYP,10.1109/lcsys.2018.2871126,DELETED via staging+AARL
WYLEYYTE,RBG8ZVYP,10.1152/jn.00486.2017,DELETED via +AARL
W5CWNDLA,RBG8ZVYP,10.1007/s00422-020-00851-9,DELETED via +AARL
KQQ4LZS6,RBG8ZVYP,10.3390/ijms22116007,DELETED via +AARL
IB5AUAXS,RBG8ZVYP,10.1073/pnas.1419045111,DELETED via +AARL+Airtable
ZLGS2H3K,RBG8ZVYP,10.1152/jn.01271.2003,DELETED via +AARL
M2UUSLMY,RBG8ZVYP,10.3390/ijms22031467,DELETED via +AARL+Airtable
GCM5KYXP,RBG8ZVYP,10.1152/jn.00866.2014,DELETED via +AARL
GXXKCPBQ,RBG8ZVYP,10.1016/j.neuron.2013.02.007,DELETED via +AARL
FRXD4KXB,RBG8ZVYP,10.1152/jn.90729.2008,DELETED via staging+AARL
WPHXZALY,RBG8ZVYP,10.1016/j.cell.2015.06.036,DELETED via +AARL
HDM7M4CE,RBG8ZVYP,10.1111/j.1469-7793.2000.00817.x,DELETED via +AARL
LBX66ST6,RBG8ZVYP,10.14288/1.0071394,DELETED via +AARL
HW4FJKN4,RBG8ZVYP,10.1152/jn.00261.2012,DELETED via +AARL
NLTC79EA,RBG8ZVYP,10.1152/jn.1997.77.2.797,DELETED via +AARL
S3M5KJ8M,RBG8ZVYP,10.1016/j.neuron.2008.08.009,DELETED via +AARL
XCNEUBGL,RBG8ZVYP,10.1523/jneurosci.1206-09.2009,DELETED via +AARL
W2DGDE89,RBG8ZVYP,10.3390/ijms22115882,DELETED via +AARL
JSG637UJ,RBG8ZVYP,10.1016/j.neuron.2006.11.008,DELETED via +AARL
KKPHWB4W,RBG8ZVYP,10.1038/s41598-018-35714-8,DELETED via +AARL+Airtable
PF26U8W8,RBG8ZVYP,10.3389/fnins.2019.01288,DELETED via +AARL+Airtable
U3FBK3JK,RBG8ZVYP,10.1523/jneurosci.22-22-09961.2002,DELETED via +AARL
FAI4RHRI,RBG8ZVYP,10.3389/fncir.2022.1076766,DELETED via staging+AARL+Airtable
SIWBHI87,RBG8ZVYP,10.1111/j.1469-7793.2000.00639.x,DELETED via +AARL
NTS5B3Z4,RBG8ZVYP,10.1038/nature04545,DELETED via +AARL
PG7CF26T,RBG8ZVYP,10.1016/s0896-6273(03)00353-2,DELETED via +AARL
NHS832UF,RBG8ZVYP,10.1016/j.robot.2011.12.005,DELETED via +AARL
CR5JB59J,RBG8ZVYP,10.1016/j.neuron.2012.05.011,DELETED via staging+AARL
IV3KANKS,RBG8ZVYP,10.3389/fnbot.2017.00039,DELETED via +AARL+Airtable
HIJR2VK2,RBG8ZVYP,10.1152/jn.1999.82.1.290,DELETED via +AARL
J4ULK6RU,RBG8ZVYP,10.1111/nyas.12055,DELETED via +AARL
VH9PQ98S,RBG8ZVYP,10.1152/jn.00479.2001,DELETED via +AARL
MLX6ERGC,RBG8ZVYP,10.1152/physrev.00028.2005,DELETED via +AARL
QCHTWZQ5,RBG8ZVYP,10.1152/jn.00991.2004,DELETED via +AARL
LIJIS5WA,RBG8ZVYP,10.1111/j.1749-6632.2010.05435.x,DELETED via +AARL
U7T7894Y,RBG8ZVYP,10.1098/rstb.2006.1889,DELETED via +AARL
YT33NN9W,RBG8ZVYP,10.3390/app8010006,DELETED via +AARL
X7ZRIQ5W,RBG8ZVYP,10.1152/jn.00863.2002,DELETED via +AARL+Airtable
BSMM6LVW,RBG8ZVYP,10.1152/jn.00204.2023,DELETED via staging+AARL
BJNJT7IM,RBG8ZVYP,10.1146/annurev-neuro-083122-025325,DELETED via staging+AARL
BBLPKL8G,RBG8ZVYP,10.3389/fphys.2018.00784,DELETED via staging+AARL+Airtable
