doi,oa_id,cited_by_count,n_refs,n_in_corpus_refs
10.1038/35049541,https://openalex.org/W2081235375,2119,105,0
10.1016/j.neunet.2008.03.014,https://openalex.org/W2156174987,1875,230,14
10.1002/cphy.cp010226,https://openalex.org/W1724705168,1374,352,21
10.1113/jphysiol.1910.sp001362,https://openalex.org/W2162304282,1322,0,0
10.1016/s0960-9822(01)00581-4,https://openalex.org/W2122107405,1274,149,7
10.1098/rspb.1911.0077,https://openalex.org/W2159240874,1218,0,0
10.1152/physrev.00028.2005,https://openalex.org/W2169109050,1113,624,101
10.1113/jphysiol.2003.057174,https://openalex.org/W2108315391,1102,57,10
10.1126/science.3975635,https://openalex.org/W1982508615,1081,72,13
10.1523/jneurosci.06-05-01308.1986,https://openalex.org/W1637203540,978,26,4
10.1016/j.neuron.2006.11.008,https://openalex.org/W2016910258,940,117,18
10.1016/0301-0082(92)90024-9,https://openalex.org/W2141290457,933,591,24
10.1007/978-1-4757-0964-3,https://openalex.org/W365407947,920,0,0
10.1146/annurev.neuro.29.051605.112910,https://openalex.org/W2115682148,905,126,23
10.1016/s0166-2236(97)01149-1,https://openalex.org/W2025842514,867,72,1
10.1038/nrn1137,https://openalex.org/W1978862241,846,153,11
10.1007/bf00235671,https://openalex.org/W2076879580,839,52,10
10.1016/0006-8993(87)91442-9,https://openalex.org/W1973862785,838,16,6
10.1038/nrn.2016.9,https://openalex.org/W2289996588,803,166,48
10.1038/nrn2608,https://openalex.org/W1980143518,793,143,19
10.1111/j.1749-6632.1998.tb09062.x,https://openalex.org/W2117553976,790,32,3
10.1113/jphysiol.1957.sp005794,https://openalex.org/W2052812788,721,35,1
10.1016/j.brainresrev.2007.08.006,https://openalex.org/W2064257383,712,79,42
10.1126/science.1210617,https://openalex.org/W1969232476,677,26,8
10.1109/tnsre.2010.2047592,https://openalex.org/W2095661097,666,73,22
10.1038/5721,https://openalex.org/W1482575233,642,28,3
10.1002/jmor.1051410102,https://openalex.org/W1967425026,623,57,4
10.1016/0006-8993(75)91013-6,https://openalex.org/W2085531075,616,15,2
10.1152/jn.1997.77.2.797,https://openalex.org/W1872061170,605,50,17
10.1152/physrev.00015.2019,https://openalex.org/W2972514463,598,483,84
10.1152/physrev.1992.72.3.623,https://openalex.org/W1814966798,596,0,0
10.1016/j.conb.2009.09.002,https://openalex.org/W2052210110,583,76,6
10.1146/annurev.ne.16.030193.001405,https://openalex.org/W2168071184,581,116,13
10.1016/0006-8993(78)90973-3,https://openalex.org/W2086155025,563,19,4
10.1007/bf00204048,https://openalex.org/W1526473519,561,85,7
10.1113/jphysiol.1957.sp005849,https://openalex.org/W2025947382,556,17,0
10.1152/physrev.2000.80.1.83,https://openalex.org/W1512811199,554,523,66
10.1016/0006-8993(80)90206-1,https://openalex.org/W2092114155,542,26,7
10.1016/s0966-6362(97)00042-8,https://openalex.org/W2001556607,532,111,23
10.1016/0301-0082(89)90004-x,https://openalex.org/W1993420015,525,282,7
10.1523/jneurosci.16-18-05777.1996,https://openalex.org/W2161691215,514,31,4
10.1016/s0301-0082(98)00081-1,https://openalex.org/W2168307960,499,122,19
10.1016/0014-4886(86)90094-4,https://openalex.org/W1970087762,495,42,6
10.1007/bf00249807,https://openalex.org/W2045391660,494,31,16
10.1111/j.1748-1716.1969.tb04415.x,https://openalex.org/W2068733876,493,27,7
10.1038/nrn939,https://openalex.org/W2004675537,486,121,24
10.1111/j.1748-1716.1967.tb03636.x,https://openalex.org/W2127735752,486,26,3
10.1093/acprof:oso/9780198524052.001.0001,https://openalex.org/W2478562489,484,0,0
10.1111/j.1748-1716.1967.tb03637.x,https://openalex.org/W1974859321,475,13,1
10.1113/jphysiol.1992.sp019296,https://openalex.org/W2078450592,466,36,1
10.1016/0166-2236(90)90057-h,https://openalex.org/W1977331952,458,36,0
10.1152/jn.1979.42.4.936,https://openalex.org/W2110198466,449,0,0
10.1016/0166-2236(95)80008-p,https://openalex.org/W2036078241,448,61,2
10.1016/0301-0082(87)90010-4,https://openalex.org/W2094137255,438,170,6
10.1016/j.neuron.2015.02.042,https://openalex.org/W2083831782,436,258,11
10.1016/0959-4388(95)80107-3,https://openalex.org/W2041488220,412,43,13
10.1113/jphysiol.2006.118703,https://openalex.org/W2143314240,408,76,31
10.1016/s1388-2457(03)00120-2,https://openalex.org/W2152578300,408,159,26
10.1038/nature04545,https://openalex.org/W2029644817,408,31,7
10.1177/1073858404264680,https://openalex.org/W2395182341,408,161,36
10.1038/nature12286,https://openalex.org/W2069610894,395,41,11
10.1111/j.1748-1716.1985.tb07612.x,https://openalex.org/W1976230995,391,33,5
10.1016/j.conb.2009.10.011,https://openalex.org/W2002015872,391,122,21
10.1016/s0079-6123(08)60803-1,https://openalex.org/W1675839706,388,73,5
10.1002/cphy.cp120105,https://openalex.org/W1735741754,384,351,64
10.1113/jphysiol.1958.sp006101,https://openalex.org/W2097541219,380,21,3
10.1523/jneurosci.15-07-04943.1995,https://openalex.org/W1953111155,380,31,2
10.1152/jn.1993.70.3.1009,https://openalex.org/W2474121502,371,0,0
10.1016/j.neuron.2008.08.009,https://openalex.org/W2034951262,366,61,13
10.1016/s0079-6123(03)43012-4,https://openalex.org/W1559505189,363,54,19
10.1152/japplphysiol.00942.2003,https://openalex.org/W2122715731,358,118,30
10.1016/j.neuron.2008.09.027,https://openalex.org/W1995488673,358,69,16
10.1111/j.1748-1716.1980.tb06534.x,https://openalex.org/W2082605003,358,31,9
10.1016/s0966-6362(99)00052-1,https://openalex.org/W2103222398,334,54,13
10.1016/j.neuron.2012.05.011,https://openalex.org/W2001784063,328,117,16
10.1093/icb/icm024,https://openalex.org/W2049855535,326,182,12
10.1016/0006-8993(77)90710-7,https://openalex.org/W2014061840,325,39,7
10.1152/physrev.2001.81.2.539,https://openalex.org/W2157108014,322,340,30
10.1016/j.brainresbull.2007.03.010,https://openalex.org/W2075299328,322,448,51
10.1111/j.1469-7793.2000.00817.x,https://openalex.org/W2026055416,312,46,10
10.1007/bf00231254,https://openalex.org/W2043362413,311,43,12
10.1016/j.cub.2016.06.070,https://openalex.org/W2533765953,308,217,10
10.1007/bf00235013,https://openalex.org/W2007769909,304,17,2
10.1111/j.1748-1716.1983.tb07267.x,https://openalex.org/W2006008614,304,36,15
10.1007/bf00228410,https://openalex.org/W1999560196,302,42,19
10.1073/pnas.1419045111,https://openalex.org/W2136465646,301,101,43
10.1152/jn.1976.39.5.1090,https://openalex.org/W2472109575,300,13,1
10.1113/jphysiol.1971.sp009487,https://openalex.org/W1981030777,290,22,3
10.1111/j.1749-6632.1998.tb09040.x,https://openalex.org/W1998584917,288,33,5
10.1152/jn.1994.71.6.2074,https://openalex.org/W2466671176,285,24,8
10.1152/jn.1997.77.6.3311,https://openalex.org/W2169047134,279,31,7
10.1111/j.1748-1716.1980.tb06533.x,https://openalex.org/W1975183367,277,39,12
10.1152/jn.1996.75.3.1126,https://openalex.org/W2155180319,276,37,18
10.1523/jneurosci.5894-08.2010,https://openalex.org/W2073046238,276,186,18
10.1113/jphysiol.1995.sp020871,https://openalex.org/W2018959254,274,17,9
10.1523/jneurosci.1206-09.2009,https://openalex.org/W2032725699,269,49,9
10.1016/0301-0082(96)00028-7,https://openalex.org/W1979766464,264,269,55
10.1002/cphy.cp120103,https://openalex.org/W1878589647,264,332,19
10.1016/j.conb.2010.09.004,https://openalex.org/W2074071999,258,78,19
10.1146/annurev.physiol.62.1.723,https://openalex.org/W2120261865,257,193,22
10.1016/0006-8993(75)90401-1,https://openalex.org/W2049230750,257,17,2
10.1002/cne.20711,https://openalex.org/W2075444384,256,74,3
10.1016/j.brainresrev.2009.08.002,https://openalex.org/W1985559627,255,130,35
10.1038/nn.2482,https://openalex.org/W2068467384,255,50,8
10.1098/rspb.2003.2454,https://openalex.org/W1981932940,254,50,9
10.1111/j.1469-7793.2001.0041b.x,https://openalex.org/W2155213171,252,62,37
10.1038/nn.4077,https://openalex.org/W1096877704,248,50,0
10.1016/0006-8993(80)90207-3,https://openalex.org/W2020910495,248,54,11
10.1007/bf00227344,https://openalex.org/W2171759509,247,22,7
10.1016/j.neuron.2014.02.013,https://openalex.org/W2080030366,246,68,15
10.3389/fneur.2012.00183,https://openalex.org/W2119133891,246,214,30
10.1016/s0165-0173(98)00006-x,https://openalex.org/W2145384795,241,121,11
10.1113/jphysiol.1993.sp019498,https://openalex.org/W2069091115,239,31,5
10.1152/jn.1991.66.6.1874,https://openalex.org/W2334963168,239,0,0
10.1016/j.neuron.2013.08.015,https://openalex.org/W2061314910,239,45,19
10.1152/jn.00216.2005,https://openalex.org/W2091280544,236,34,14
10.1007/bf00227094,https://openalex.org/W1997500899,236,31,6
10.1113/jphysiol.1987.sp016676,https://openalex.org/W2145653840,236,48,12
10.1016/0301-0082(86)90021-3,https://openalex.org/W2037428536,233,426,24
10.1093/brain/119.6.1809,https://openalex.org/W2061641821,231,0,0
10.1113/jphysiol.2006.118711,https://openalex.org/W2149784701,229,49,40
10.1016/s0966-6362(98)00010-1,https://openalex.org/W2106332413,226,91,34
10.1016/s0896-6273(03)00353-2,https://openalex.org/W2082170249,226,55,5
10.1016/0166-2236(95)94494-p,https://openalex.org/W2098277672,225,26,0
10.1152/jn.00615.2004,https://openalex.org/W2139079436,225,65,32
10.1152/jn.1980.44.5.1024,https://openalex.org/W2303850821,224,0,0
10.1016/0006-8993(72)90007-8,https://openalex.org/W2026014826,223,44,3
10.1016/j.conb.2015.01.011,https://openalex.org/W1964169670,220,59,2
10.1152/jn.1987.57.1.56,https://openalex.org/W2340754523,219,0,0
10.1152/jn.00496.2003,https://openalex.org/W1966178566,216,61,26
10.1152/jn.00065.2005,https://openalex.org/W2037050168,214,39,28
10.1242/jeb.198.2.435,https://openalex.org/W2165007430,213,75,4
10.1145/245108.245118,https://openalex.org/W2061934921,213,11,4
10.1016/s0165-0173(99)00008-9,https://openalex.org/W2009740879,213,197,29
10.1016/0921-8890(96)00003-6,https://openalex.org/W1971017172,213,20,2
10.1111/j.1748-1716.1984.tb07400.x,https://openalex.org/W2085214578,211,38,12
10.1038/nature10538,https://openalex.org/W1981426699,211,65,19
10.1016/j.humov.2007.01.005,https://openalex.org/W2029798526,206,63,8
10.1177/1073858417699790,https://openalex.org/W2602737239,202,78,31
10.1007/bf00241961,https://openalex.org/W2086265687,199,25,16
10.1016/j.brainresrev.2007.06.014,https://openalex.org/W2113386433,198,40,33
10.1111/j.1469-7793.2000.00389.x,https://openalex.org/W1971990035,196,50,23
10.1016/s0166-2236(02)02173-2,https://openalex.org/W2069308336,195,84,21
10.1016/j.brainresrev.2007.07.016,https://openalex.org/W2078807031,195,94,3
10.1523/eneuro.0069-15.2015,https://openalex.org/W2286435172,195,96,38
10.1111/j.1748-1716.1981.tb06867.x,https://openalex.org/W2137825350,194,31,13
10.1007/pl00007977,https://openalex.org/W2061227856,192,0,0
10.1098/rsif.2012.0669,https://openalex.org/W2171073614,189,47,7
10.1152/jn.1998.79.4.1687,https://openalex.org/W2200746124,188,71,22
10.1073/pnas.1304365110,https://openalex.org/W2167390514,187,58,22
10.1152/jn.1999.81.2.758,https://openalex.org/W2428009260,186,26,12
10.1152/jn.00978.2016,https://openalex.org/W2605689714,186,225,53
10.1093/brain/awu372,https://openalex.org/W2120815846,183,69,22
10.1111/j.1469-7793.1998.293bu.x,https://openalex.org/W2103458434,183,32,3
10.1152/jn.00479.2001,https://openalex.org/W1904955064,181,83,26
10.1016/j.brainresrev.2007.06.022,https://openalex.org/W2055592109,181,72,9
10.1007/bf00230939,https://openalex.org/W2017516920,179,17,5
10.1007/bf00229407,https://openalex.org/W2141974690,179,62,15
10.1113/jphysiol.1982.sp014319,https://openalex.org/W1980379278,178,25,5
10.1152/jn.1997.77.6.3226,https://openalex.org/W2097511884,176,47,12
10.1152/jn.00658.2017,https://openalex.org/W2766255495,175,150,22
10.1007/bf00235825,https://openalex.org/W2070597621,174,48,13
10.1111/j.1469-7793.1998.277bu.x,https://openalex.org/W2072002431,171,29,4
10.1016/j.asd.2004.05.004,https://openalex.org/W2023064587,170,87,13
10.1152/jn.1997.77.6.3237,https://openalex.org/W2164723986,168,83,11
10.1007/978-1-4757-0964-3_21,https://openalex.org/W2492299531,168,40,6
10.1113/jphysiol.1995.sp020897,https://openalex.org/W2022437069,168,32,18
10.1152/jn.2001.86.1.447,https://openalex.org/W2399420755,167,57,21
10.1152/jn.1977.40.4.737,https://openalex.org/W2196314719,166,0,0
10.1016/j.asd.2004.05.001,https://openalex.org/W2006207808,165,73,8
10.1523/jneurosci.4849-09.2010,https://openalex.org/W2055458218,164,51,9
10.1016/j.brainresrev.2007.06.028,https://openalex.org/W2007560803,163,95,20
10.1152/jn.00497.2003,https://openalex.org/W4248489947,163,26,13
10.1007/s002210050522,https://openalex.org/W2126918678,157,41,13
10.7554/elife.04718,https://openalex.org/W2193936862,157,83,29
10.1111/j.1748-1716.2006.01651.x,https://openalex.org/W2017402562,155,81,30
10.1098/rstb.1999.0441,https://openalex.org/W1972697076,154,37,1
10.3389/fphys.2018.00784,https://openalex.org/W2811275898,154,362,84
10.1016/j.pneurobio.2006.04.001,https://openalex.org/W2060807766,154,186,27
10.1016/j.brainresrev.2007.06.025,https://openalex.org/W2009740307,153,125,29
10.1016/0006-8993(75)90974-9,https://openalex.org/W2014729386,152,30,3
10.1016/j.asd.2004.05.002,https://openalex.org/W1975840128,150,46,7
10.1113/jphysiol.1981.sp013556,https://openalex.org/W2044532655,148,36,2
10.7554/elife.31050,https://openalex.org/W2770429290,147,101,43
10.1523/jneurosci.3338-09.2009,https://openalex.org/W2056290204,146,134,5
10.1016/s0079-6123(06)57016-5,https://openalex.org/W1962249519,145,283,33
10.1007/s002210050847,https://openalex.org/W2082485258,145,57,17
10.1016/j.neuron.2013.02.007,https://openalex.org/W2023276512,145,85,10
10.1007/bf00239728,https://openalex.org/W2000013699,141,17,5
10.1146/annurev-neuro-082321-025137,https://openalex.org/W4205125105,140,151,18
10.1113/jphysiol.2012.240895,https://openalex.org/W2142548630,140,71,37
10.1111/j.1749-6632.1998.tb09050.x,https://openalex.org/W2101864862,140,31,21
10.1016/0959-4388(94)90139-2,https://openalex.org/W2002316126,139,102,20
10.1016/b978-0-08-026814-9.50025-9,https://openalex.org/W170956600,136,41,10
10.1016/s0166-2236(03)00073-0,https://openalex.org/W1980926246,135,77,12
10.1113/jp272787,https://openalex.org/W2519214224,135,101,42
10.1523/jneurosci.22-22-09961.2002,https://openalex.org/W2150681916,135,45,4
10.1007/s10827-008-0124-4,https://openalex.org/W2145648903,134,45,10
10.1007/s00422-003-0449-z,https://openalex.org/W2143289029,133,36,10
10.1016/j.tins.2006.08.007,https://openalex.org/W2140497618,132,67,27
10.1523/jneurosci.1618-07.2007,https://openalex.org/W1975579640,132,62,10
10.1016/j.pneurobio.2004.04.003,https://openalex.org/W2097678807,132,225,27
10.1016/0006-8993(78)90493-6,https://openalex.org/W2072985771,132,8,3
10.1023/a:1008920021246,https://openalex.org/W1553786746,130,49,3
10.1152/jn.1999.82.1.290,https://openalex.org/W1758809234,129,61,3
10.1016/j.cub.2011.05.029,https://openalex.org/W2033714640,128,168,22
10.1016/s0079-6123(06)65015-2,https://openalex.org/W1532921825,128,78,37
10.1113/jphysiol.1983.sp014663,https://openalex.org/W2026917580,128,27,3
10.1152/jn.00991.2004,https://openalex.org/W2185623027,127,46,19
10.1016/0006-8993(93)90903-z,https://openalex.org/W1981746040,126,30,8
10.1007/bf00228156,https://openalex.org/W2045705935,125,13,3
10.1098/rstb.2006.1889,https://openalex.org/W2109398572,125,220,40
10.1152/jn.1980.44.3.475,https://openalex.org/W2409197843,124,0,0
10.1093/brain/awh252,https://openalex.org/W2133149447,123,65,23
10.1162/neco.1992.4.3.356,https://openalex.org/W2020528988,121,17,1
10.1113/jp270121,https://openalex.org/W2127608059,120,52,28
10.1515/revneuro-2017-0102,https://openalex.org/W2904012664,120,623,88
10.1152/jn.1990.64.3.756,https://openalex.org/W1799753769,118,56,11
10.3389/fnbot.2017.00039,https://openalex.org/W2749701166,117,168,20
10.1523/jneurosci.2005-13.2013,https://openalex.org/W2047303975,117,48,10
10.1152/jn.01300.2004,https://openalex.org/W2133970449,117,66,30
10.1177/1073858410396101,https://openalex.org/W1979026904,116,90,32
10.1152/jn.90895.2008,https://openalex.org/W2169763427,116,74,21
10.1007/bf00237937,https://openalex.org/W2037080969,112,15,5
10.1152/jn.00325.2004,https://openalex.org/W2106064561,112,33,20
10.1152/jn.01271.2003,https://openalex.org/W1963741618,112,55,10
10.1007/978-1-4615-0713-0_40,https://openalex.org/W2215040991,111,55,30
10.1111/j.1749-6632.2010.05435.x,https://openalex.org/W2127110152,110,47,25
10.1002/cphy.c170036,https://openalex.org/W4210985909,109,180,2
10.1016/j.clinph.2010.01.039,https://openalex.org/W1996229629,109,261,67
10.1152/jn.1989.62.5.1177,https://openalex.org/W2438937308,108,0,0
10.1152/jn.2001.86.3.1321,https://openalex.org/W1895590810,107,19,12
10.1007/bf00235875,https://openalex.org/W2616362470,106,28,11
10.1177/0278364903022003003,https://openalex.org/W2049377006,105,44,5
10.1016/j.jneumeth.2010.01.005,https://openalex.org/W2093435740,104,38,8
10.1152/jn.00216.2017,https://openalex.org/W2773217643,100,148,36
10.1007/s00422-006-0129-x,https://openalex.org/W2116712719,100,194,81
10.1113/jphysiol.1996.sp021538,https://openalex.org/W2146794131,100,26,12
10.1016/s0074-7742(05)69005-8,https://openalex.org/W333344667,99,134,0
10.1002/cphy.c210020,https://openalex.org/W4200399668,98,896,172
10.1111/j.1749-6632.1998.tb09039.x,https://openalex.org/W2106150875,98,31,14
10.1152/jn.1998.79.4.1702,https://openalex.org/W4245017765,98,30,12
10.1007/bf00236206,https://openalex.org/W2075367659,98,31,3
10.1002/cphy.c100086,https://openalex.org/W2115162941,97,203,35
10.1016/j.neuron.2011.07.011,https://openalex.org/W2021282412,97,57,14
10.1523/jneurosci.20-22-08577.2000,https://openalex.org/W1941846571,96,60,12
10.1152/jn.1991.66.3.919,https://openalex.org/W2407954654,96,0,0
10.1111/j.1460-9568.2010.07354.x,https://openalex.org/W2147690681,95,128,22
10.1016/s0959-4388(98)80121-9,https://openalex.org/W2025793624,95,63,4
10.1152/jn.1999.81.4.1856,https://openalex.org/W2265032157,95,51,11
10.1139/y04-043,https://openalex.org/W2109481218,92,61,32
10.1038/ncomms1276,https://openalex.org/W2050825329,92,46,11
10.1242/jeb.056481,https://openalex.org/W2118812444,91,53,2
10.1016/j.celrep.2018.08.095,https://openalex.org/W2895381724,91,64,22
10.1016/j.cois.2015.07.004,https://openalex.org/W1648369341,90,91,8
10.3389/fncom.2013.00014,https://openalex.org/W1982580850,89,122,38
10.1113/jphysiol.1988.sp017281,https://openalex.org/W2103103180,88,28,1
10.1016/s0006-8993(96)00977-8,https://openalex.org/W1972125409,88,27,10
10.1016/b978-0-444-53613-6.00006-x,https://openalex.org/W1941953147,87,123,34
10.1088/1748-3190/10/4/041001,https://openalex.org/W1549313501,87,392,60
10.1152/jn.00511.2005,https://openalex.org/W1994097308,86,32,25
10.1177/105971239300100404,https://openalex.org/W2017648441,84,27,2
10.1242/jeb.245784,https://openalex.org/W4385751984,84,191,37
10.3389/fncel.2019.00512,https://openalex.org/W2984132113,84,179,27
10.1523/jneurosci.1654-20.2020,https://openalex.org/W3121247532,83,149,29
10.1111/j.1469-7793.2000.00639.x,https://openalex.org/W2095276281,83,45,9
10.1016/0006-8993(90)90334-8,https://openalex.org/W2032957079,82,57,6
10.1007/bf00229406,https://openalex.org/W3198263178,82,22,3
10.1641/0006-3568(2000)050[0023:iwabar]2.3.co;2,https://openalex.org/W2135268036,81,37,7
10.1016/j.conb.2015.03.001,https://openalex.org/W2013166533,81,65,21
10.1152/jn.00550.2017,https://openalex.org/W2764257870,80,70,37
10.1113/jp277515,https://openalex.org/W2900493819,79,84,13
10.1152/jn.00833.2002,https://openalex.org/W2046363790,79,68,11
10.1152/jn.00020.2021,https://openalex.org/W3206103967,79,186,28
10.1016/0006-8993(78)90363-3,https://openalex.org/W1976915307,79,8,1
10.1152/jn.1993.69.6.2232,https://openalex.org/W2470397711,78,0,0
10.1523/jneurosci.3931-12.2013,https://openalex.org/W2084980163,77,46,22
10.1152/jn.00865.2011,https://openalex.org/W2110252881,77,75,29
10.3390/ijms22115882,https://openalex.org/W3164037707,77,56,28
10.1249/jes.0000000000000233,https://openalex.org/W3042304855,76,69,0
10.1152/jn.00909.2004,https://openalex.org/W2133240073,76,53,11
10.1152/jn.01054.2007,https://openalex.org/W1986168208,75,92,8
