id	label	doi	year	first_author	weight	x	y	cluster	source
W4408318418	Emergence of natural and robust bipedal walking by learning from biologically plausible objectives	10.1016/j.isci.2025.112203	2025	Schumacher	10	0.509781	0.494986	1	task5import
W4410576946	Reorganization of spinal neural connectivity following recovery after thoracic spinal cord injury: insights from computa	10.1101/2025.05.17.654682	2025	Shevtsova	0	0.501133	0.499735	2	task5import
W2122715731	Locomotor activity in spinal cord-injured persons	10.1152/japplphysiol.00942.2003	2004	Dietz	358	0.500783	0.505926	3	originals99
W2605689714	The neural control of interlimb coordination during mammalian locomotion.	10.1152/jn.00978.2016	2017	Frigon	186	0.500131	0.502873	4	rest383
W4380084061	A sensory signal related to left-right symmetry modulates intra- and interlimb cutaneous reflexes during locomotion in i	10.3389/fnsys.2023.1199079	2023	Mari	20	0.497602	0.505104	4	demo50
W2150029220	Emergent synchrony in locally coupled neural oscillators	10.1109/72.392256	1995	Wang	186	0.526289	0.491760	1	task5import
W2032922942	Biomechanics of fast-start swimming in fish	10.1016/s1095-6433(01)00461-5	2001	Wakeling	35	0.338226	0.388330	9	task5import
W2126918678	Flexor reflex afferents reset the step cycle during fictive locomotion in the cat	10.1007/s002210050522	1998	Schomburg	158	0.501224	0.503590	3	rest383
W2234885283	An Assessment of Six Muscle Spindle Models for Predicting Sensory Information during Human Wrist Movements	10.3389/fncom.2015.00154	2016	Malik	11	0.505796	0.494855	6	task5import
W3206958864	Secondary endings of muscle spindles: Structure, reflex action, role in motor control and proprioception	10.1113/ep089826	2021	Banks	59	0.501685	0.497832	3	task5import
W4245017765	Forms of Forward Quadrupedal Locomotion. III. A Comparison of Posture, Hindlimb Kinematics, and Motor Patterns for Downs	10.1152/jn.1998.79.4.1702		Smith	98	0.502861	0.506283	4	rest383
W2106332413	Neural control of locomotion: sensory control of the central pattern generator and its relation to treadmill training	10.1016/s0966-6362(98)00010-1	1998	Van de Crommert	226	0.502202	0.505055	3	rest383
W2100949883	Estimation of musculoskeletal models from in situ measurements of muscle action in the rat hindlimb	10.1242/jeb.049163	2011	Yeo	11	0.510719	0.509180	1	task5import
W2165007430	RHYTHMIC PATTERNS IN THE THORACIC NERVE CORD OF THE STICK INSECT INDUCED BY PILOCARPINE	10.1242/jeb.198.2.435	1995	Büschges	213	0.508127	0.503084	1	originals99
W2020342163	Automatic body regulation for maintaining stability of a legged vehicle during rough-terrain locomotion	10.1109/jra.1985.1087012	1985	Messuri	221	0.508043	0.479862	1	task5import
W2047207165	Synchronization dynamics of two coupled neural oscillators receiving shared and unshared noisy stimuli	10.1007/s10827-008-0120-8	2009	Ly	49	1.000000	0.500000		task5import
W2088984699	Bipedal walk using a Central Pattern Generator	10.1016/j.ics.2004.05.129	2004	Inada	23	0.511923	0.496874	1	task5import
W2103127878	Ia afferent activity during a variety of voluntary movements in the cat	10.1113/jphysiol.1977.sp011864	1977	Prochazka	158	0.504002	0.504263	3	task5import
W1991524960	Identification of the Plant for Upright Stance in Humans: Multiple Movement Patterns From a Single Neural Strategy	10.1152/jn.01272.2007	2008	Kiemel	112	0.515409	0.518223	5	task5import
W1973862785	Recovery of locomotion after chronic spinalization in the adult cat	10.1016/0006-8993(87)91442-9	1987	Barbeau	839	0.499429	0.504270	4	rest383
W2119899403	Rate Models for Conductance-Based Cortical Neuronal Networks	10.1162/08997660360675053	2003	Shriki	224	0.518615	0.494439	1	task5import
W2138373683	Finding Resonance: Adaptive Frequency Oscillators for Dynamic Legged Locomotion	10.1109/iros.2006.281802	2006	Buchli	90	0.513634	0.496910	1	task5import
W4399319734	A spinal circuit model with asymmetric cervical-lumbar layout controls backward locomotion and scratching in quadrupeds	10.1016/j.neunet.2024.106422	2024	Zhu	2	0.498207	0.500714	2	digest20
W2106064561	Contribution of Force Feedback to Ankle Extensor Activity in Decerebrate Walking Cats	10.1152/jn.00325.2004	2004	Donelan	112	0.503054	0.505444	3	rest383
W1980143518	Circuits controlling vertebrate locomotion: moving in a new direction	10.1038/nrn2608	2009	Goulding	794	0.500324	0.500862	2	rest383
W2037428536	Supraspinal contributions to the initiation and control of locomotion in the cat.	10.1016/0301-0082(86)90021-3	1986	Armstrong	234	0.500054	0.504926	4	rest383
W3127158969	Recent Insights into the Rhythmogenic Core of the Locomotor CPG.	10.3390/ijms22031394	2021	Rančić	40	0.500390	0.499586	2	rest383
nodoi:rec1wae5IFa5E0TA7	Ankleextensor groupIafferents excite extensors throughout thehindlimb during fictive locomotion inthecat		2011	Guertin	0	0.999388	0.524729		task5import
W2914580701	Analyzing Moment Arm Profiles in a Full-Muscle Rat Hindlimb Model	10.3390/biomimetics4010010	2019	Young	16	0.514174	0.505229	1	rest383
W4312223060	Hindlimb muscle spindles inform preparatory forelimb coordination prior to landing in toads	10.1242/jeb.244629	2023	Duman	1	0.501329	0.513178	4	task5import
W3115364503	A Synthetic Nervous System Model of the Insect Optomotor Response	10.1007/978-3-030-64313-3_30	2020	Sedlackova	3	0.516608	0.501573	1	rest383
W2200746124	Forms of forward quadrupedal locomotion. II. A comparison of posture, hindlimb kinematics, and motor patterns for upslop	10.1152/jn.1998.79.4.1687	1998	Carlson-Kuhta	188	0.502375	0.505405	4	rest383
W2109398572	Plasticity of connections underlying locomotor recovery after central and/or peripheral lesions in the adult mammals	10.1098/rstb.2006.1889	2006	Rossignol	125	0.499768	0.504027	4	rest383
W2612306436	Nitride-Based Materials for Flexible MEMS Tactile and Flow Sensors in Robotics	10.3390/s17051080	2017	Abels	51	0.355173	0.416735	8	task5import
W2072168817	How Fish Power Swimming	10.1126/science.8332898	1993	Rome	226	0.337164	0.388954	9	task5import
W2050605088	The effects of self-reinnervation of cat medial and lateral gastrocnemius muscles on hindlimb kinematics in slope walkin	10.1007/s00221-007-0938-8	2007	Maas	71	0.502864	0.509269	4	task5import
