source	target	weight
W2086265687	W2018959254	2
W3198263178	W2141974690	2
W2109596721	W1969456244	2
W2009740307	W2064257383	2
W2031321282	W2083357910	2
W1994930156	W2096812348	2
W2164653071	W1576838367	2
W2127735752	W1974859321	2
W1975183367	W2082605003	2
W2072002431	W2103458434	2
W2095276281	W2056636841	2
W2143314240	W2149784701	2
W2019724270	W2035062891	2
W2143869343	W2032624805	2
W2143869343	W2109481218	2
W2109481218	W2106064561	2
W2032624805	W2049747725	2
W2764257870	W2770429290	2
W1966178566	W4248489947	2
W2200746124	W4245017765	2
W2097511884	W2164723986	2
W2079995373	W2162109810	2
W1967425026	W2025947382	1
W1967425026	W2052812788	1
W1967425026	W2068733876	1
W1967425026	W2162304282	1
W2075444384	W2081235375	1
W2075444384	W2141290457	1
W2215040991	W170956600	1
W2215040991	W1512811199	1
W1735741754	W2215040991	1
W2215040991	W1872061170	1
W2215040991	W1895590810	1
W2215040991	W1971990035	1
W2215040991	W1999560196	1
W2215040991	W2006008614	1
W2215040991	W2017516920	1
W2215040991	W2018959254	1
W2215040991	W2022437069	1
W2215040991	W2026055416	1
W2215040991	W2045391660	1
W2215040991	W2052812788	1
W2215040991	W2056636841	1
W2215040991	W2082485258	1
W2215040991	W2086155025	1
W2215040991	W2086265687	1
W2215040991	W2092114155	1
W2215040991	W2101864862	1
W2215040991	W2106150875	1
W2215040991	W2120261865	1
W2215040991	W2146794131	1
W2215040991	W2155180319	1
W2215040991	W2155213171	1
W2215040991	W2168307960	1
W2215040991	W2200746124	1
W2215040991	W2428009260	1
W2215040991	W2466671176	1
W2215040991	W2474121502	1
W78653950	W2025842514	1
W78653950	W2168307960	1
W78653950	W2169047134	1
W1549689122	W1975079024	1
W1549689122	W1986168208	1
W1549689122	W2034134392	1
W1549689122	W2064257383	1
W1549689122	W2073046238	1
W1549689122	W2093435740	1
W1549689122	W2106518363	1
W1549689122	W2108315391	1
W1549689122	W2120168261	1
W1549689122	W2129945286	1
W1549689122	W2141290457	1
W1549689122	W2148820543	1
W1549689122	W2168741747	1
W2402403182	W111640478	1
W2402403182	W181439764	1
W2402403182	W1526473519	1
W2402403182	W1532921825	1
W2402403182	W1553786746	1
W2402403182	W1814966798	1
W2402403182	W1829502189	1
W2402403182	W1966178566	1
W2402403182	W1979766464	1
W2402403182	W1988725789	1
W2402403182	W1994097308	1
W2402403182	W1999560196	1
W2402403182	W2006008614	1
W2402403182	W2014729386	1
W2402403182	W2018959254	1
W2402403182	W2022437069	1
W2402403182	W2025947382	1
W2402403182	W2037050168	1
W2402403182	W2041488220	1
W2402403182	W2042023602	1
W2402403182	W2045391660	1
W2402403182	W2048690171	1
W2402403182	W2050605088	1
W2402403182	W2052812788	1
W2402403182	W2056636841	1
W2402403182	W2064257383	1
W2402403182	W2072002431	1
W2402403182	W2074071999	1
W2402403182	W2082170249	1
W2402403182	W2082485258	1
W2402403182	W2092114155	1
W2402403182	W2095276281	1
W2402403182	W2097511884	1
W2402403182	W2097541219	1
W2402403182	W2101864862	1
W2402403182	W2102727091	1
W2402403182	W2110252881	1
W2402403182	W2113386433	1
W2402403182	W2115866269	1
W2402403182	W2119133891	1
W2402403182	W2127110152	1
W2402403182	W2133970449	1
W2402403182	W2141290457	1
W2402403182	W2142548630	1
W2402403182	W2143289029	1
W2402403182	W2143314240	1
W2402403182	W2143869343	1
W2402403182	W2146794131	1
W2402403182	W2149784701	1
W2402403182	W2153649474	1
W2402403182	W2155180319	1
W2402403182	W2155213171	1
W2402403182	W2159240874	1
W2402403182	W2169109050	1
W2402403182	W2340754523	1
W2402403182	W2397793654	1
